index,faixa_img,numero_img,nome_img,time_img,long_img,lat_img,ele_img
0,0,0,MULTICAPTURA_0371_000000,1742494907,-55.37253888888889,-30.73143888888889,210.0
2,0,22,MULTICAPTURA_0371_000022,1742494929,-55.37262777777778,-30.731535833333332,210.8
4,0,24,MULTICAPTURA_0371_000024,1742494931,-55.372705555555555,-30.73162472222222,209.6
6,0,26,MULTICAPTURA_0371_000026,1742494933,-55.3728,-30.73172472222222,208.1
8,0,28,MULTICAPTURA_0371_000028,1742494935,-55.37291111111111,-30.731827777777777,206.9
10,0,30,MULTICAPTURA_0371_000030,1742494937,-55.37303333333333,-30.731952777777778,205.9
12,0,32,MULTICAPTURA_0371_000032,1742494939,-55.37316111111111,-30.732083333333332,205.3
14,0,34,MULTICAPTURA_0371_000034,1742494941,-55.37328888888889,-30.73221361111111,204.7
16,0,36,MULTICAPTURA_0371_000036,1742494943,-55.37340833333334,-30.73233611111111,204.3
18,0,38,MULTICAPTURA_0371_000038,1742494945,-55.373530555555554,-30.73246111111111,204.4
20,0,40,MULTICAPTURA_0371_000040,1742494947,-55.37365833333333,-30.732588888888888,205.0
22,0,42,MULTICAPTURA_0371_000042,1742494949,-55.37378611111111,-30.732699722222222,206.0
24,0,44,MULTICAPTURA_0371_000044,1742494951,-55.373925,-30.732777777777777,205.2
26,0,46,MULTICAPTURA_0371_000046,1742494953,-55.37405555555556,-30.732835833333333,204.0
28,0,48,MULTICAPTURA_0371_000048,1742494955,-55.37417777777778,-30.732888888888887,203.0
